"Mass_fraction_of_co2","Mass_fraction_of_h2o","Points:0","Points:1","Points:2","Temperature","Velocity:0","Velocity:1","Velocity:2"
0.00016575,0.0017979,-0.29044,2.0897,0.027841,295.58,-0.0012767,0.0089526,-0.0014401
0.00016143,0.001809,-0.33173,2.0509,0.053271,295.56,-0.00056758,0.0088938,-0.0010298
0.00016577,0.001802,-0.39531,2.1072,-0.039565,295.6,-0.0032442,0.0097119,-0.0030446
0.00016467,0.0018184,-0.43282,2.1109,-0.0081465,295.61,-0.0027692,0.009131,-0.0033716
0.00016007,0.0018243,-0.39953,2.0514,0.057527,295.57,-0.00090354,0.0087283,-0.0015865
0.00017235,0.0017858,-0.28314,2.1584,-0.037988,295.62,-0.0030629,0.0095797,-0.002694
0.00015119,0.0018229,-0.7517,1.9536,-0.048063,295.54,0.00043952,0.0056934,-0.0012056
0.00014615,0.0018133,-0.75986,1.8792,-0.032015,295.49,0.0013617,0.0063011,0.00081714
0.00015492,0.0018252,-0.68068,2.004,-0.050454,295.56,-0.00090291,0.0073601,-0.0027453
0.00015497,0.0018284,-0.62772,2.004,-0.022941,295.56,-0.00089002,0.008143,-0.0022205
0.00015881,0.0018247,-0.60971,2.0528,-0.05208,295.59,-0.0022433,0.0084857,-0.0037046
0.00015885,0.0018335,-0.53956,2.0538,0.0044558,295.58,-0.0017292,0.0086376,-0.0027453
0.00014712,0.0018353,-0.59893,1.9024,0.075952,295.49,0.0013614,0.0086828,0.0015015
0.00012899,0.0017655,-0.95439,1.6258,-0.023449,295.39,0.0010479,0.0066057,0.006123
0.00013198,0.0017883,-0.84736,1.6784,0.039066,295.37,0.0021841,0.0082402,0.0060201
0.00014345,0.0018238,-0.62897,1.8466,0.068184,295.45,0.0019425,0.0092819,0.002436
0.00014373,0.0018194,-0.74809,1.8502,0.014268,295.47,0.0018243,0.0067394,0.0022014
0.00012622,0.0017514,-0.95519,1.5793,-0.052329,295.35,0.00095934,0.008235,0.0052378
0.00018271,0.0017666,-0.16808,2.2353,-0.036213,295.67,-0.0020921,0.0095151,-0.0029356
0.00017874,0.001773,-0.20573,2.2062,-0.037251,295.65,-0.0025282,0.0095148,-0.0027288
