Mass_fraction_of_co2,Mass_fraction_of_h2o,Points:0,Points:1,Points:2,Temperature,Velocity:0,Velocity:1,Velocity:2
0.00018886,0.0012292,0.58613,2.0687,-0.80756,295.3,-1.0414,0.066709,0.15288
0.00015915,0.0011976,0.58206,2.0559,-0.87885,295.25,-1.1262,0.1086,0.0043863
0.00010669,0.0012396,0.65028,2.004,-0.94871,295.22,-0.90805,0.06264,-0.017842
0.00010667,0.0013425,0.56437,1.9655,-1,296.13,0,0,0
0.00013272,0.0011458,0.58937,2.0487,-0.92738,295.23,-1.2742,0.119,-0.05714
0.00015946,0.0011801,0.64445,2.0534,-0.86164,295.22,-1.2031,0.095834,0.039591
0.0001433,0.0011271,0.64345,2.0564,-0.91448,295.23,-1.3409,0.1272,-0.08399
0.00010423,0.0011904,0.58028,2.004,-1,296.01,0,0,0
0.00013711,0.0010733,0.55726,2.0746,-0.95491,295.28,-1.4849,0.16651,-0.053028
9.89E-05,0.0011839,0.63539,2.004,-1,296,0,0,0
0.00012023,0.0015466,0.62055,1.9066,-1,296.56,0,0,0
0.00026131,0.0013571,0.57709,2.1103,-0.65457,295.54,-0.49645,-0.011002,0.23333
0.00022754,0.0012552,0.5921,2.1073,-0.83302,295.46,-0.88818,0.045441,0.065782
0.00013613,0.0010402,0.61769,2.076,-0.95758,295.28,-1.5809,0.18036,-0.086148
0.00011488,0.0010453,0.59038,2.0571,-1,296,0,0,0
0.00018219,0.001126,0.58875,2.0987,-0.9149,295.37,-1.302,0.15033,-0.069424
0.00022214,0.0012252,0.58178,2.1191,-0.8753,295.48,-0.95179,0.083432,-0.010028
0.00011174,0.0010212,0.64556,2.0579,-1,296,0,0,0
0.00019386,0.0011468,0.6269,2.0919,-0.88563,295.37,-1.2726,0.10398,-0.043435
0.00025514,0.0013482,0.54521,2.1278,-0.75008,295.54,-0.54789,0.01615,0.12462
0.00025483,0.001327,0.56197,2.1426,-0.83053,295.58,-0.58746,0.0096378,0.034944
0.00017608,0.0010602,0.56863,2.1328,-0.95497,295.45,-1.4294,0.26851,-0.035017
0.00014219,0.00097558,0.60136,2.1106,-1,296,0,0,0
0.00027333,0.0014033,0.55217,2.1469,-0.70676,295.61,-0.32845,-0.019674,0.095506
0.00019307,0.001115,0.62576,2.1116,-0.91983,295.42,-1.3094,0.15837,-0.091237
0.00014008,0.00099793,0.54624,2.1099,-1,296,0,0,0
0.00017625,0.0010401,0.62378,2.1295,-0.95495,295.45,-1.4855,0.29777,-0.054073
0.00024257,0.0012511,0.59202,2.158,-0.89953,295.61,-0.78353,0.059224,-0.006341
0.00017298,0.0010111,0.55878,2.1632,-1,296,0,0,0
0.00020368,0.0011106,0.52688,2.1807,-0.9548,295.57,-1.1814,0.25394,0.005917
0.00028669,0.0014646,0.5465,2.1862,-0.65731,295.66,-0.086515,-0.037597,0.0035405
0.00029129,0.001463,0.55745,2.1914,-0.73897,295.7,-0.12154,-0.073225,0.0016727
0.00028284,0.0014625,0.56225,2.1816,-0.55055,295.63,-0.061179,4.29E-05,0.027766
0.00025941,0.0013037,0.56434,2.1984,-0.90537,295.7,-0.56573,0.015113,0.03713
0.0001799,0.0010102,0.61352,2.1643,-1,296,0,0,0
0.00029066,0.0014722,0.57659,2.1833,-0.59449,295.66,-0.061417,-0.043034,0.0090713
0.00024196,0.0013984,0.53942,2.1386,-0.35361,295.46,-0.14459,0.15723,0.21608
0.00028381,0.0014098,0.57157,2.1853,-0.83533,295.71,-0.2813,-0.075835,0.0080631
0.00023339,0.001185,0.60346,2.1983,-0.94624,295.69,-0.90088,0.18494,0.039295
0.00028781,0.0014214,0.5663,2.2156,-0.86525,295.75,-0.22279,-0.088235,0.019872
0.00021494,0.0011056,0.57378,2.2168,-1,296,0,0,0
0.00024168,0.0012207,0.54285,2.2342,-0.95384,295.72,-0.78574,0.17353,0.040009
0.00028953,0.0014094,0.60149,2.2134,-0.88281,295.77,-0.25073,-0.10539,0.03093
0.000304,0.0015208,0.57749,2.2447,-0.64999,295.73,0.033785,-0.078322,-0.062935
0.00029961,0.0015173,0.57786,2.2378,-0.58303,295.7,0.037998,-0.047846,-0.059556
0.0003043,0.0014886,0.59179,2.2205,-0.80631,295.77,-0.052778,-0.13113,-0.020864
0.00029349,0.0014349,0.58387,2.252,-0.90411,295.8,-0.18519,-0.086745,0.039197
0.0003002,0.0015078,0.55895,2.2366,-0.70473,295.73,0.0073542,-0.082121,-0.050191
0.00029845,0.0015315,0.54153,2.2756,-0.62318,295.72,0.062636,-0.033802,-0.076384
