"Mass_fraction_of_co2","Mass_fraction_of_h2o","Points:0","Points:1","Points:2","Temperature","Velocity:0","Velocity:1","Velocity:2"
0.00010609,0.001622,0.95099,1.0064,0.4709,295.14,-0.011256,-0.10166,0.028683
9.9923e-05,0.0015994,1,0.94529,0.34821,296.32,0,0,0
0.00010415,0.0016223,0.8999,0.99475,0.43844,295.06,-0.0092834,-0.073089,0.028991
9.4908e-05,0.0012409,0.9334,0.92132,0.86371,295.43,-0.26655,-1.2226,-0.065989
0.00010182,0.0013957,0.92775,0.894,0.95828,298.79,-0.40338,-0.35744,0.20355
9.431e-05,0.001223,0.97879,0.894,0.93636,301.93,0,0,0
9.138e-05,0.0015416,0.97121,0.84742,0.16843,294.81,0,0,0
9.436e-05,0.0015664,0.95003,0.894,0.22311,294.89,0.0097519,0.027761,0.02693
9.7313e-05,0.0015879,0.91613,0.93141,0.27991,294.93,0.0031477,0.011114,0.027167
0.00010172,0.0016156,0.89805,0.99149,0.36903,295.01,-0.0015448,-0.027552,0.036641
9.2216e-05,0.0011821,0.97294,0.894,0.91515,296.36,-0.47935,-0.84372,0.19519
8.9738e-05,0.0011391,0.9682,0.91596,0.87653,295.61,-0.26614,-1.2984,-0.010401
8.234e-05,0.0010057,0.97702,0.94787,0.8292,295.18,-0.097888,-1.8767,-0.23772
8.3601e-05,0.0010072,0.96649,0.97789,0.7764,295.01,-0.071927,-1.9924,-0.36676
8.5708e-05,0.0010538,0.95608,0.96301,0.80235,295.08,-0.1121,-1.8532,-0.29542
9.205e-05,0.001178,0.94138,0.95013,0.84322,295.28,-0.14072,-1.4874,-0.15802
0.00010705,0.0014178,0.92739,1.0026,0.64263,295.14,-0.042548,-0.80402,-0.19373
0.00010948,0.0015907,0.89773,1.038,0.57562,295.14,-0.0082751,-0.28376,-0.025556
0.00010729,0.0016186,0.90681,1.0141,0.51282,295.11,-0.011247,-0.15166,0.0071763
0.00010234,0.0016148,1,0.99641,0.38107,296.27,0,0,0
9.3402e-05,0.0012094,0.95475,0.894,0.89765,295.99,-0.46881,-1.0133,0.11835
0.00010312,0.0014217,0.94023,0.91709,0.9467,299.01,-0.19639,-0.51116,0.11788
0.00010301,0.0014208,0.93636,0.894,0.97879,305.48,0,0,0
9.845e-05,0.0013064,0.97091,0.91238,0.94424,305.87,0,0,0
9.6332e-05,0.0012643,0.96613,0.91813,0.92335,297.3,-0.23568,-0.89189,0.13833
0.0001011,0.0013777,0.9345,0.91916,0.9227,296.67,-0.21392,-0.72249,0.059759
9.5538e-05,0.0015737,1,0.894,0.25597,295.57,0,0,0
9.3213e-05,0.0015597,0.89999,0.894,0.19081,294.84,0.017939,0.050008,0.016484
9.9306e-05,0.0015995,0.95055,0.96261,0.31858,295.01,-0.0005616,-0.0058801,0.042597
0.00010308,0.0016208,0.9308,1.0115,0.39068,295.05,-0.0021894,-0.03884,0.045805
0.00010008,0.0016092,0.87825,0.98356,0.32717,294.97,0.0046948,-0.0048499,0.033011
8.7601e-05,0.0010487,0.96395,1.0149,0.74627,294.99,-0.04883,-1.9179,-0.3951
9.5638e-05,0.0011921,0.92957,1.0004,0.74201,295.05,-0.08247,-1.5279,-0.30592
0.00010146,0.0012871,0.92698,1.0175,0.69675,295.09,-0.062328,-1.2283,-0.27551
0.00010457,0.0016242,0.94346,1.0134,0.43043,295.09,-0.0061218,-0.064611,0.043171
9.7214e-05,0.0012608,0.90719,0.98852,0.79917,295.13,-0.076644,-1.3479,-0.20478
0.00010896,0.0016067,0.95084,1.0241,0.52801,295.19,-0.0086975,-0.18744,-0.0040174
0.00010877,0.0014586,0.9329,1.0286,0.62818,295.16,-0.020351,-0.68349,-0.15783
0.00011115,0.0015043,1,1.0363,0.58494,296.15,0,0,0
0.00010179,0.0016148,0.95003,1.0131,0.35108,295.04,0.00024758,-0.019032,0.051708
0.00010613,0.0016299,0.90999,1.0305,0.46822,295.08,-0.0036885,-0.087674,0.033709
9.5327e-05,0.0012499,0.94443,0.91469,0.88882,295.79,-0.28904,-1.0855,0.014302
9.7709e-05,0.0012973,0.92722,0.95116,0.87121,295.45,-0.12159,-1.1609,-0.08474
0.00010459,0.001457,0.94424,0.91238,0.97091,309.44,0,0,0
8.8997e-05,0.001521,0.97124,0.84724,0.10874,294.75,0,0,0
9.3306e-05,0.0015585,1,0.894,0.19577,295.5,0,0,0
9.2277e-05,0.0015512,0.95007,0.894,0.16354,294.84,0.018369,0.049276,0.023209
8.8688e-05,0.001519,0.9081,0.83907,0.11076,294.75,0.035127,0.084043,0.0040476
9.1317e-05,0.0015452,0.89998,0.894,0.13201,294.79,0.026165,0.071752,0.010168
9.7243e-05,0.0015881,0.95017,0.96335,0.25806,294.96,0.0057932,0.018428,0.041489
9.8889e-05,0.0016004,0.90512,0.97988,0.28881,294.95,0.0070334,0.010707,0.035335
9.5384e-05,0.0015765,0.91103,0.93633,0.22048,294.88,0.012973,0.037515,0.025806
9.7521e-05,0.0015878,1,0.94573,0.28765,296.28,0,0,0
9.1497e-05,0.0011689,0.97719,0.9251,0.90005,296.05,-0.15475,-1.2013,0.040047
9.3335e-05,0.0012065,0.95632,0.94718,0.88226,295.64,-0.12189,-1.3196,-0.071932
8.6074e-05,0.0010716,0.97236,0.96406,0.85585,295.34,-0.067609,-1.7496,-0.18036
9.3814e-05,0.0011778,0.92656,1.008,0.7788,295.07,-0.069146,-1.5971,-0.27205
